vectorizer,ollama_model,precision,recall,f1
default,llama3,1.0,0.5,0.6666666666666666
default,internlm2,0.5,0.5,0.5
default,gemma2,1.0,0.5,0.6666666666666666
sentence-transformers/all-MiniLM-L6-v2,llama3,1.0,0.5,0.6666666666666666
sentence-transformers/all-MiniLM-L6-v2,internlm2,0.5,0.5,0.5
sentence-transformers/all-MiniLM-L6-v2,gemma2,1.0,0.5,0.6666666666666666
nomic-ai/nomic-embed-text-v1.5-Q,llama3,1.0,0.5,0.6666666666666666
nomic-ai/nomic-embed-text-v1.5-Q,internlm2,0.5,0.5,0.5
nomic-ai/nomic-embed-text-v1.5-Q,gemma2,1.0,0.5,0.6666666666666666
BAAI/bge-large-en-v1.5,llama3,0.5,0.5,0.5
BAAI/bge-large-en-v1.5,internlm2,0.5,0.5,0.5
BAAI/bge-large-en-v1.5,gemma2,1.0,0.5,0.6666666666666666
intfloat/multilingual-e5-large,llama3,1.0,1.0,1.0
intfloat/multilingual-e5-large,internlm2,1.0,1.0,1.0
intfloat/multilingual-e5-large,gemma2,1.0,1.0,1.0
